season,week,home_team,away_team,home_score,away_score,home_win,div_game,home_rest,away_rest,spread_line,home_moneyline,away_moneyline,home_rolling_win_pct,away_rolling_win_pct,home_rolling_point_diff,away_rolling_point_diff
2022,10,LA,ARI,17.0,27.0,0,1,7,7,3.5,-183.0,160.0,0.3333333333333333,0.3333333333333333,-2.0,-3.3333333333333335
2022,10,GB,DAL,31.0,28.0,1,0,7,14,-3.5,177.0,-199.0,0.0,0.6666666666666666,-6.0,9.666666666666666
2022,10,LV,IND,20.0,25.0,0,0,7,7,4.5,-199.0,177.0,0.3333333333333333,0.0,-4.333333333333333,-11.0
2022,10,PIT,NO,20.0,10.0,1,0,14,6,1.0,-116.0,105.0,0.3333333333333333,0.3333333333333333,-8.666666666666666,0.6666666666666666
2022,10,MIA,CLE,39.0,17.0,1,0,7,13,3.0,-177.0,158.0,1.0,0.3333333333333333,4.333333333333333,-2.3333333333333335
2022,10,NYG,HOU,24.0,16.0,1,0,14,10,5.5,-221.0,195.0,0.6666666666666666,0.0,-1.3333333333333333,-12.333333333333334
2022,10,KC,JAX,27.0,17.0,1,0,7,7,10.0,-399.0,333.0,0.6666666666666666,0.3333333333333333,6.666666666666667,-1.0
2022,10,CHI,DET,30.0,31.0,0,1,7,7,3.0,-159.0,143.0,0.3333333333333333,0.3333333333333333,-1.3333333333333333,-5.333333333333333
2022,10,BUF,MIN,30.0,33.0,0,0,7,7,6.5,-264.0,230.0,0.6666666666666666,1.0,3.6666666666666665,6.333333333333333
2022,10,TB,SEA,21.0,16.0,1,0,7,7,2.5,-138.0,124.0,0.3333333333333333,1.0,-6.666666666666667,12.666666666666666
2022,10,PHI,WAS,21.0,32.0,0,1,11,8,11.0,-501.0,405.0,1.0,0.6666666666666666,14.333333333333334,0.0
2022,11,GB,TEN,17.0,27.0,0,0,4,4,3.0,-171.0,153.0,0.3333333333333333,0.6666666666666666,-4.333333333333333,3.6666666666666665
2022,11,LAC,KC,27.0,30.0,0,1,7,7,-5.5,203.0,-231.0,0.3333333333333333,1.0,-5.666666666666667,11.333333333333334
2022,11,PIT,CIN,30.0,37.0,0,1,7,14,-3.5,163.0,-182.0,0.3333333333333333,0.6666666666666666,-6.0,6.666666666666667
2022,11,MIN,DAL,3.0,40.0,0,0,7,7,-1.5,118.0,-131.0,1.0,0.6666666666666666,4.666666666666667,11.666666666666666
2022,11,DEN,LV,16.0,22.0,0,1,7,7,2.5,-145.0,131.0,0.3333333333333333,0.0,-3.3333333333333335,-12.0
2022,11,NYG,DET,18.0,31.0,0,0,7,7,3.0,-159.0,143.0,0.6666666666666666,0.6666666666666666,0.0,1.0
2022,11,NO,LA,27.0,20.0,1,0,7,7,2.5,-124.0,112.0,0.3333333333333333,0.0,0.0,-10.0
2022,11,IND,PHI,16.0,17.0,0,0,7,6,-6.5,235.0,-270.0,0.3333333333333333,0.6666666666666666,-6.333333333333333,7.666666666666667
2022,11,HOU,WAS,10.0,23.0,0,0,7,6,-3.0,135.0,-150.0,0.0,0.6666666666666666,-9.0,3.0
2022,11,BUF,CLE,31.0,23.0,1,0,7,7,7.5,-353.0,298.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,-2.0
2022,11,BAL,CAR,13.0,3.0,1,0,13,10,13.0,-647.0,503.0,1.0,0.3333333333333333,7.333333333333333,-4.666666666666667
2022,11,ATL,CHI,27.0,24.0,1,0,10,7,3.0,-138.0,125.0,0.3333333333333333,0.0,-3.3333333333333335,-8.0
2022,11,NE,NYJ,10.0,3.0,1,1,14,14,3.5,-182.0,163.0,0.6666666666666666,0.6666666666666666,3.0,1.6666666666666667
2022,11,ARI,SF,10.0,38.0,0,1,8,8,-10.0,350.0,-422.0,0.3333333333333333,0.6666666666666666,-2.6666666666666665,0.6666666666666666
2022,12,DET,BUF,25.0,28.0,0,0,4,4,-10.0,342.0,-412.0,1.0,0.3333333333333333,6.666666666666667,0.6666666666666666
2022,12,DAL,NYG,28.0,20.0,1,1,4,4,10.5,-441.0,363.0,0.6666666666666666,0.3333333333333333,18.0,-6.333333333333333
2022,12,MIN,NE,33.0,26.0,1,0,4,4,2.5,-136.0,123.0,0.6666666666666666,1.0,-10.333333333333334,11.666666666666666
2022,12,ARI,LAC,24.0,25.0,0,0,6,7,-2.5,123.0,-136.0,0.3333333333333333,0.3333333333333333,-9.333333333333334,-2.0
2022,12,SF,NO,13.0,0.0,1,0,6,7,9.5,-392.0,327.0,1.0,0.3333333333333333,17.0,-5.666666666666667
2022,12,KC,LA,26.0,10.0,1,0,7,7,16.5,-1088.0,768.0,1.0,0.0,5.333333333333333,-6.666666666666667
2022,12,SEA,LV,34.0,40.0,0,0,14,7,4.0,-196.0,174.0,0.6666666666666666,0.3333333333333333,6.333333333333333,-2.0
2022,12,WAS,ATL,19.0,13.0,1,0,7,7,3.5,-183.0,163.0,0.6666666666666666,0.3333333333333333,7.0,-3.3333333333333335
2022,12,PHI,GB,40.0,33.0,1,0,7,10,6.5,-278.0,241.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,-4.333333333333333
2022,12,NYJ,CHI,31.0,10.0,1,0,7,7,8.5,-375.0,315.0,0.3333333333333333,0.0,-3.0,-2.3333333333333335
2022,12,MIA,HOU,30.0,15.0,1,0,14,7,14.0,-822.0,613.0,1.0,0.0,9.666666666666666,-11.0
2022,12,JAX,BAL,28.0,27.0,1,0,14,7,-3.5,147.0,-164.0,0.3333333333333333,1.0,-2.3333333333333335,9.666666666666666
2022,12,CLE,TB,23.0,17.0,1,0,7,14,-3.0,151.0,-169.0,0.3333333333333333,0.6666666666666666,-3.6666666666666665,1.0
2022,12,CAR,DEN,23.0,10.0,1,0,7,7,-1.0,105.0,-116.0,0.3333333333333333,0.3333333333333333,-7.0,-3.0
2022,12,TEN,CIN,16.0,20.0,0,0,10,7,-1.0,-105.0,-105.0,0.6666666666666666,0.6666666666666666,4.666666666666667,3.0
2022,12,IND,PIT,17.0,24.0,0,0,8,8,2.5,-128.0,116.0,0.3333333333333333,0.3333333333333333,-6.333333333333333,-6.333333333333333
2022,13,NE,BUF,10.0,24.0,0,1,7,7,-3.5,165.0,-185.0,0.6666666666666666,0.6666666666666666,7.666666666666667,2.6666666666666665
2022,13,ATL,PIT,16.0,19.0,0,0,7,6,-1.0,103.0,-113.0,0.3333333333333333,0.6666666666666666,-4.333333333333333,3.3333333333333335
2022,13,LV,LAC,27.0,20.0,1,1,7,7,2.5,-139.0,125.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,-2.6666666666666665
2022,13,CIN,KC,27.0,24.0,1,0,7,7,-2.5,120.0,-132.0,1.0,1.0,10.666666666666666,9.666666666666666
2022,13,SF,MIA,33.0,17.0,1,0,7,7,4.5,-222.0,196.0,1.0,1.0,15.666666666666666,13.333333333333334
2022,13,LA,SEA,23.0,27.0,0,1,7,7,-7.0,252.0,-292.0,0.0,0.3333333333333333,-11.0,-0.3333333333333333
2022,13,PHI,TEN,35.0,10.0,1,0,7,7,5.0,-213.0,189.0,0.6666666666666666,0.6666666666666666,-1.0,4.333333333333333
2022,13,DAL,IND,54.0,19.0,1,0,10,6,11.0,-460.0,376.0,0.6666666666666666,0.3333333333333333,14.0,-1.0
2022,13,MIN,NYJ,27.0,22.0,1,0,10,7,3.0,-146.0,132.0,0.6666666666666666,0.6666666666666666,-9.0,5.666666666666667
2022,13,HOU,CLE,14.0,27.0,0,0,7,7,-7.5,280.0,-329.0,0.0,0.3333333333333333,-12.0,-8.0
2022,13,DET,JAX,40.0,14.0,1,0,10,7,1.0,-118.0,107.0,0.6666666666666666,0.6666666666666666,3.6666666666666665,-0.6666666666666666
2022,13,CHI,GB,19.0,28.0,0,1,7,7,-4.0,163.0,-182.0,0.0,0.3333333333333333,-8.333333333333334,-4.666666666666667
2022,13,BAL,DEN,10.0,9.0,1,0,7,7,9.5,-347.0,294.0,0.6666666666666666,0.0,7.666666666666667,-8.666666666666666
2022,13,NYG,WAS,20.0,20.0,0,1,10,7,-2.5,113.0,-124.0,0.3333333333333333,1.0,-4.333333333333333,10.0
2022,13,TB,NO,17.0,16.0,1,1,8,8,3.5,-190.0,169.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,-5.333333333333333
2022,14,LA,LV,17.0,16.0,1,0,4,4,-6.5,245.0,-283.0,0.0,1.0,-9.0,6.333333333333333
2022,14,LAC,MIA,23.0,17.0,1,0,7,7,-3.0,146.0,-163.0,0.3333333333333333,0.6666666666666666,-3.0,7.0
2022,14,SF,TB,35.0,7.0,1,0,7,6,3.5,-196.0,175.0,1.0,0.6666666666666666,19.0,0.0
